titles,data,labels,
Wearables,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient�s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor�s diagnoses.",healthcare,
Secure remote consultations,"With 5G services, trips to your local doctor�s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",healthcare,
Assisted and fully robotic surgery,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and �feel� the patient they are operating on from a different location.The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",healthcare,
2D/3D scanning,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient�s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.It would also be able to assist in training, again for trainee professionals to better understand a patient and their symptoms.",healthcare,
Video Analytics,"Smart farming all about collecting the right data and using it to optimize your resource-planning and operation. Artificial Vision technologies using artificial intelligence are making waves in the agriculture sector just like they are in any other. Smart Agriculture is a major use case for vision-based automation and data analytics applications, driven by drones and vision based harvesting, weeding and so on. Deploying compute capabilities using ventless industrial PC�s at the edge allows for on-site analytics and quick access to graphic-heavy data and analytics.Besides edge computing devices, deployment of 4G/LTE/5G connectivity is another key factor in evolution of high-resolution visual data collection in remote environment. Industrial Communication Gateways with integrated LTE connectivity offer a great onsite compute platform along with cellular communication with cloud.",agriculture,
Environmental Monitoring,"One of the biggest advantages that edge computing has brought to farming and agriculture over the past few years is the ability to remotely monitor different aspects of a farm�s agricultural operations. Networks of sensors, ranging from several sporadically placed sensors to thousands of connected devices monitoring aspects such as soil, weather and humidity and temperature conditions as well as acidity and pH levels.Edge computing allows for the data necessary in delivering such solutions to be generated and collected much closer to the source while also enabling some data processing operations to be performed in the edge devices themselves. Allowing farmers and agricultural workers detailed insights about their operational environments is a big selling point with any new technology, and edge computing is no different.",agriculture,
 Robotics,"While neither robotics technologies or artificial intelligence systems have quite given us the android companions science fiction has predicted for so long, we are now getting to a point in time where such robotic iterations don�t seem so much like science fiction anymore and appear to us more as feasible possibilities.While robotics has been an active part of many industries for decades now, car manufacturing, for example, it has also been slow to gain traction elsewhere. With the help of edge computing and IoT device networks, this is no longer the case.Within agriculture, the recent emergence of smart farming frameworks has promoted the use of edge computing and Internet of Things (IoT) systems devices, and laid the groundwork to enable IoT-driven robotics to be developed for smart farms. These systems are capable of being programmed to perform automated tasks such as picking vegetables as well as spraying plants and crops, with more applications currently being developed.",agriculture,
Automation,"The use of virtualization, automation, and Big Data have been the key drivers for what has become known as the fourth industrial revolution, and so it is no surprise that automation is playing a growing role in many smart farming and agricultural enterprises. As previously mentioned, automated robotics, as well as soil injections, heaters, and lighting can all be utilised through the use of edge computing and automation systems.When coupled with the various remote monitoring applications and software now available to smart farms and agricultural enterprises, automation can become a powerful tool to farmers. The many benefits of automation continue to grow as do its applications within smart farming and, with systems such as 5G wireless networks and powerful machine learning algorithms also currently being developed, it seems automation�s role in smart farming and agriculture is just beginning.",agriculture,
Vertical Farming,"We as a species live on a planet of finite resources, and one of those finite resources is farmable land. Soil degradation is a growing problem around the world and the amount of farmable land we have is, unfortunately, slowly decreasing. In response to this growing crisis, scientists and farmers from around the world have developed what has become known as vertical farming. Vertical farming involves using the data collected from a network of IoT sensors and devices to optimize the growing of food and plants without the need for farm land.In vertical farms for example, moisture levels are controlled with a network of sensors that constantly monitor a mist that surrounds the plant. Using edge computing, much of the data processing involved in such operations can be done on the edge devices themselves, without the need to be sent to the cloud, further adding to the benefits of such systems within farming environments.While we continue to move into the Fourth Industrial Revolution, analytics technologies, automation, 5G, and AI and machine learning technologies will all begin to become more prominent and integrated into smart farms and agriculture. As we�ve seen over the course of this article, this will be in large part thanks to the foundations laid by edge computing.",agriculture,
Sensors networks,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings.",agriculture,
Human machine interaction,"The high performance of 5G networks will make IoT more accessible by humans, to enhance the awareness of the context in which people live. Ericsson 5G system allows for the context awareness that allows you to fill the gap between people and IoT.",healthcare,
Monitoring of Climate Conditions ,"Probably the most popular smart agriculture gadgets are weather stations, combining various smart farming sensors. Located across the field, they collect various data from the environment and send it to the cloud. The provided measurements can be used to map the climate conditions, choose the appropriate crops, and take the required measures to improve their capacity (i.e. precision farming). Some examples of such agriculture IoT devices are allMETEO, Smart Elements, and Pycno.",education, 
Greenhouse Automation,"In addition to sourcing environmental data, weather stations can automatically adjust the conditions to match the given parameters. Specifically, greenhouse automation systems use a similar principle.  For instance, Farmapp and Growlink are also IoT agriculture products offering such capabilities among others.  GreenIQ is also an interesting product that uses smart agriculture sensors. It is a smart sprinklers controller that allows you to manage your irrigation and lighting systems remotely.",education,
Crop Management,"One more type of IoT product in agriculture and another element of precision farming is crop management devices. Just like weather stations, they should be placed in the field to collect data specific to crop farming; from temperature and precipitation to leaf water potential and overall crop health, these can all be used to readily collect data and information for improved farming practices.  Thus, you can monitor your crop growth and any anomalies to effectively prevent diseases or infestations that could harm your yield. Arable and Semios can serve as good representations of how this use case can be applied in real life.",education,
Tactile  Internet  &  Skillset  c ommunication ,"Having   a  network   capable   of  transferring   our   tactile  communication  through  Internet  will  help  us  to  move  from  today �s content  and information  delivery  Internet  to  a  manual  skill set delivery  Internet .  This  will  create  new  ways  of  Tele - teaching and  T ele - mentoring especially for manual  training and skill development . The use of Tactile Internet in education  can bring new definition and experience for distance learning and distance team - working.  In order to have  a natural haptic interaction of ou r limbs with video and audio feedback the response time of service should  be very low, i.e., the round trip  time o f few m illiseconds which can be only envisaged by 5G.",education,
V irtual Reality &  education,"Whi le the initial use  case  for VR was  the  entertainment industry,  it also has relevance in education and training, and will have a big role in providing quality education and improving  understanding - based learning among students.  By t ailoring these services  to education ,  ( e.g . by , having  virtual t our s of the human body with the possibility of interacting with model s and moving  the  different  layers of  the  body ) ,  the  learning process can be  more fun and  much more interesting. This also  can bring  new experience s for distance learning ,  enabling the vir tual  presence of students (e.g.,  located  in suburban  area ) in the classroom . This type of service need s very high bandwidth (bi - directional) and very low latency (i.e., 2 - 4ms). ",education,
Augmented  Reality &  education ,"Similar to  the  VR,  AR  has  already  started  to  show  its  relevance  and  usefulness in education. Providing  the  necessary information can make contextualised learning ubiquitous  and pervasive.  AR can be an efficient way of providing  the  right amount of information at  the right time to  the right  audience .  Also, immersive AR can enable new way s of learning and team working in education  through services such as mobile cloud classroom and Virtual Presence .  Enhancing  the  learning experien ce  is not the only possible use  case for AR. It can also help teachers to get necessary information about each  student and be aware of their  particular need s and capabilities. The requirements for implementing such  services ,  including optimised routing, seamless wide - area coverage, virtual p resence, low delay speech &  video coding,  need to be considered .",education,
Walled - off  classroom,"By  combining  Tactile  Internet  and  VR ,  the  future  experience  in  teaching  and  learning could  go  far  beyond  today �s exp erience . This  can  remove  the  physical  location  constraint  for  experimental  practices , and  facilitate and  enable the  shar ing of  resources between  larger numbers of  students irrespective  of  their  current  location .  The  impact  would  be  more  significant  in  hands - on - experience with expensive equipment and fa cilities.",education,
Personalised learning ,"Individual access to a mobile device holds the promise to connect each learner into  intelligent  personalised  systems  that  can  suggest  learning  pathways,  enable  aggregated  analysis  and  through better data capture of learner  experiences enable much better decision making about all aspects  of a students� education.  Categorising students in different groups and suggesting different multi - media  contents can increase the load on the network. However, i n - network caching technologie s such as  Content  Centric  Networks  (CCN)  and  Inform ation  Centric  Networks  (ICN)  can  be  used  to  improve  efficiency  by  reducing the service response time and bandwidth consumption. ",education,
Student w ireless  b ackpack,Today�s cloud - based  storage  services have  made  it possible  to access  files irrespective of device of use .  D ue to the centralised architecture of  cloud providers there is  a  notable delay  in access  to  the  content  even  with  a  relatively  fast  internet  connection.  Future  mobile  technology  will enable single d evice content access anywhere by using distributed cloud and mobile edge computing. All  the  user needs is a device to access any of his personal content and stored file s .  Using this feature students  can  resume  their  work  at  a convenient  time  and  place  thro ugh  different  device s with  an  impression  of  immediate response time . ,education,
Student with especial needs,"Advances in mobile technology and robotics can open new opportunities  to assist students  with  especial  needs ,  making learning easier  for  them .  Cloud - based  ro bots  can  be  considered as  a  full - time  assistan t for  disabled  students,  helping  them  to  interact  with  the  education  environment and  their  peers . Rather than having  to call a teacher over for help ( which can cost both the  student  and  the  teacher  time  they  c o uld  be  using  more  productively )  the  student s can  take  care  of  the  issue with the help of their robot. ",education,
IoT & Smart Classroom /Smart Campus ,"IoT applications are affecting all aspect of our life, from smart  building to smart healthcare. However, one of the fast growing area of these applications is in education  which can improve our today�s teaching, learning and campus operating experience. IoT applications c an  also help us change the role of teachers in the classroom, reducing the burden of administrative load on  them  and  allowing  them  to  concentrate  more  on  individuals.  B eing  automatically  logged  into  the  classroom  as  soon  as  entering  to  the  class ,  being  dis tracted  by  a  signal  as  soon  as  losing  concentration  during lecture, real - time feedback to a lecturer about areas that students still have problem based on  the  real - time  analyses  of their  notes,  all  are  just  few  examples  of  how  IoT  and  connected  classroom  c an  enhance learning and teaching experience.",education,
Gaming on the go,"This educational gaming use case of 5G is being pioneered in collaboration with Rooplay, a company seeking to remove restrictions on education by making games more accessible to children through cloud storage, and by creating an original platform of curated games that's safe, fast and fun.  Rooplay's state-of-the-art low-memory platform will allow educational institutions to address students' needs more flexibly and efficiently � a child will soon be able to put down their work at the end of the school day, and instantly pick up where they left off when they arrive home. The progress being made in the 5G Research and Innovation Lab is empowering Jason Williams, CEO of Rooplay, and his team to create a service that is truly disruptive and enabling for families all over the world.",education,
Focus on: predictive preloading,"The technology that will make all this possible comes in the form of the 5G predictive preloading being developed at King's College London. This innovation frees gamers from a single location, enabling them to load their devices at the touch of a button and remain uninterrupted on the move.  Handovers are a key element of cellular networks, responsible for keeping data sessions connected when a user moves from one site to another. Currently, handovers aren't as reliable as they could be, often resulting in frustrating speeds, loss of data and disconnection.  But with the emergence of 5G networks powerful enough to provide effortless handovers of data between cells, these issues will soon become problems of the past.  5G-enabled preloading technology is able to predict where a mobile user is likely to go, anticipate which cell they will move into, and then pre-emptively prepare the transfer of data. As technology moves to the cloud and time spent on mobile devices increases exponentially, the speed and efficiency generated by 5G predictive preloading will soon become absolutely crucial � and ubiquitous. Here, Peter Marshall, Principal 5G Lead with King's College London at Ericsson, discusses the game-changing research project.",education,
Health ,"The health sector has many applications that can benefit from mobile communications. Communications  systems enable telemedicine, which provides clinical health care at a distance. It helps eliminate distance  barriers and can improve access to medical services that would often not be consistently available in  distant rural communities. It is also used to save lives in critical care and emergency situations. Wireless sensor networks based on mobile communication can provide remote monitoring & sensors for  parameters such as heart rate and blood pressure. ",healthcare,
Healthcare services ,"Increase in Broadband speeds supports advanced e-Health and m-health  and can potentially bring new services. Other applications include Tele- radiology, Tele-medicine, patient remote health monitoring, tele Surgery,  3D brain imaging, patient EMR and etc.",healthcare,
Education & Learning ,"Disrupts the traditional way of education by enabling learning anytime at  anyplace. It  will  no longer  be  classroom based  system.  These platforms  could  bring  top-tier  global  universities  together  to  offer  free  and  interactive  courses for  the  web.  MOOC  will  become  popular. Teachers  can give live on-line lessons to  large  number of  students irrespective of  their location. From their smart phones, students can listen and interact  with  the  lecturer  and  tutors  who  are  also  online.  This  would  greatly  benefit rural students. ",education,
mHealth: 5G can bring health to  everyone,"The  pressures  on  global  health  systems  are  tremendous:  growing  and  ageing  populations  mean  it   is  becoming  too  expensive  to  continue  to  provide  healthcare  in  traditional  ways.  Governments  are   responding to these trends by seeking new models of practice and new telehealth technologies that can  assist in cutting costs, increasing efficiency of processes, and improving population health. Meanwhile,  consumers are being offered an increasing array of commercial wireless health or wellness monitoring or  tracking services.",healthcare,
Remote medicine,"Remote Medicine Service was designed to serve clients charged with the welfare of  those  working  in  extreme  environments  with  limited  healthcare  but  also for people  far from specialists to investigate specific diseases. Rural and remote medicine describes  general practice at its full scope. It refers to the  professional  values,  skills  and  competencies  necessary  for  providing  high  quality,  safe and appropriate care to a rural or remote community. In  situations  where  patients  do  not  have  easy  access  to  a  ful l  suite  of  specialist  services   and   resources   the   medical   practitioner   has   a   heightened   level   of  responsibility  to  meet  community  needs.  Rural  and  Remote  Medicine  encompasses  the best models of care for these contexts. It is typically delivered through pri vate community - based practices and hospitals but  also  on  roadsides,  in  remote  clinics,  prisons,  Aboriginal  Medical  Services,  military  front lines or via telephone or digital health systems. Remote  medicine  applies  also  to  exchanges  between  hospital  servic es  that  need  to cross - check diagnostics before giving a treatment. There  are  already  a  number  of  examples  of  applications  serving  remote  medicine  and they often use leased line in order to have a good service quality because most  of the data exchanged are video and/or high quality pictures. Now, with 5G, it should be possible to get a similar quality of service but is has to be verified through such a  pilot.",healthcare,
Remote education,"Remote  educations  services  give  the  possibility  to  perform  both  synchronous  and  asynchronous  teaching  for  chidlren  far  from  their  teachers.  The  system  should  provide also monitor of the activities . Function nalities as videoconferencing and live  communication  should  be  real  time  monitored  in  order  to  tune  them  on  the  fly  for  an  effectiveness  behaviour.  The  5G  performances  as  large  bandwidth,  low  latency,  slicing and reliability are key enablers of these servi ces. Pilots could be done in different areas: - In  suburban  areas  where  children  living  in  small  villages  spread  on  a  vast  region  could  be  gathered  in  a  single  virtual  class.  Nowaday,  in  these  kind  of  villages,  schools  gather  in  one  class  children  with  diffe rent  ages  in  order  to  reach  the  minimal  number  to  form  a  single  class.  This  means  that  a  single  teacher  needs  to  address  different  level  of  education  in  the  same  class  reducing effectiveness and efficiency.  The remote education service may be  used  to  crea te  homogenous  classes  with  children  of  the  same  age  living  in  different places. In such a way it�s possible to create homogenous classes as  happens  in  large  cities  where  a  great  number  of  children  of  the  same  ages  live close to each other and go physically in the same school.  - The  same  requirement  applies  to  children  that  are  hospitalized  for  long  periods.  Nowadays  dedicated  teachers  move  to the  hospital  increasing  costs  and  reducing  effectiveness  of  the  education.  Through  a  remote  education  service  hospita lized  children  may  participate  to  classes  with  other  children  augmenting the inclusion.",education,
"Precision farming: Use of sensor data to measure crop yields, moisture levels and terrain topography","Ensure profitability and sustainability, protect environment",agriculture,
"Smart Irrigation: Use of IoT to measure humidity, soil moisture, temperature etc. to calculate precise requirements for water",Higher irrigation efficiency,agriculture,
"Agriculture drones: Use of UAVs to monitor crop health, scan areas, agriculture photography etc.","Enhanced protection, Efficient inspection and monitoring",agriculture,
Soil and Crop monitoring: Use of sensors to monitor moisture and identify issues such as diseases or insects,"Enable informed farming decisions, minimise erosion",agriculture,
"Precision livestock farming: Real-time monitoring of productions, health, and welfare of livestock","Ensure optimal yield, enable informed farming decisions",agriculture,
Remote monitoring of health or wellness data through wireless devices,"Could provide new opportunities for monitoring well-being remotely and for providing better medical information to healthcare providers, including medical data/information.",healthcare,
Smarter medication,"Linked with health monitoring devices, medication could be administered immediately when required.",healthcare,
Wireless tele-surgery,"May allow specialists to join a local surgeon remotely, or allow for surgery to take place for those patients in remote or dangerous locations.",healthcare,
Assets tracking and management in Hospitals,Cost savings and efficiency benefits through improved tracking of valuable assets within the hospital and management of pharmaceuticals e.g. tracking those coming to end of expiry data and/or having automated ordering systems in place to re-stock key items.,healthcare,
Enable students to learn anywhere,"Provide unlimited access to educational resources, regardless of location or device.",education,
Foster global connections,Increase the potential for learning and teaching through collaboration with peers and experts worldwide.,education,
Facilitate faculty research,"Support innovation, acceleration, and research computing.",education,
Build an intelligent campus,"Optimize facilities in lighting, energy, parking, and waste disposal to create a sustainable campus.",education,
Create workplace efficiencies,"Update workspaces to increase productivity. Help staff, faculty, and the community work effectively in the existing LMS.",education,
Keep students and faculty safe,Foster a safe and secure physical and virtual campus environment,education,
Connected Research,"Power groundbreaking research,Cisco Connected Research solutions give researchers, faculty, and students the tools they need to connect and collaborate seamlessly, on campus and around the world. Conduct research--including high-performance computing (HPC)--in a secure environment. Quickly scale computing resources to fuel innovation. ",education,
Secure Campus,"Create a safe and secure learning environment,Today's schools and universities can be the targets of both physical threats and cyber attacks. Cisco cybersecurity solutions for schools help you keep students, staff, and data safe and secure, whether on campus, off campus, or en route on school vehicles.",education,
Connected Classroom," Empower students to connect, create, and share  With Cisco's Connected Classroom, students can learn how they learn best: anywhere, anytime, and on any device. Whether on or off campus, or in a flipped classroom model, students and educators have highly secure access to educational resources, using their smartphones, tablets, and other connected devices. ",education,
Virtual Classroom," Empower students to connect, create, and share  With Cisco's Connected Classroom, students can learn how they learn best: anywhere, anytime, and on any device. Whether on or off campus, or in a flipped classroom model, students and educators have highly secure access to educational resources, using their smartphones, tablets, and other connected devices. ",education,
Connected Campus," Build an intelligent digital campus  Make your school or university safer and smarter. Increase efficiency, save money, and improve experiences for students and staff. Cisco Connected Campus provides extensive network analytics so that you can make data-driven decisions. With smart-campus technologies, managing facilities, lighting, parking, and transportation is more intelligent than ever. ",education,
Smart Workspaces," Increase student and staff productivity  Transform your campus with collaborative, digital workspaces that boost productivity. With Smart Workspaces, schools and universities can operate efficiently in a rapidly changing environment. Support innovation and meet student needs for educational accessibility and campus connectivity. ",education,
Secure Campus," Create a safe and secure learning environment  Today's schools and universities can be the targets of both physical threats and cyber attacks. Cisco cybersecurity solutions for schools help you keep students, staff, and data safe and secure, whether on campus, off campus, or en route on school vehicles. ",education,
El Centro School District," Challenge      Need to update network connectivity in the district     Desire to provide one-to-one technology solutions     Need for a flexible and scalable network solution  Solution      Updated network infrastructure to improve connectivity, flexibility, and scalability     Deployed a virtual desktop environment to centralize the district's data  Outcomes      Improved productivity by developing and sharing best practices     Provided new creative learning environments     Integrated a one-to-one learning program for all schools in the district  ",education,
Fondazione Milano," Challenges      The previous wireless was provided by a mixture of managed and unmanaged access points from several vendors at each of the schools     With the rapidly growing number of clients that needed to be served, management of the access points was complicated and not scalable     No visibility into what the network was being used for or by whom   Why Cisco Meraki      Intuitive centralised management of Cisco Meraki access points & switches across multiple locations via the web-based dashboard     Massively scalable cloud architecture     Plug-and-play deployment     Layer-7 application and client visibility across wired and wireless networks      Built-in identity-based firewall automatically assigns firewall and traffic shaping rules to enforce the right policies for each class of users     Vendors also evaluated: Enterasys, Brocade, Meru Networks, Mobimesh   The Deployment      Cisco Meraki cloud-managed indoor & outdoor wireless access points and switches     Staff SSID integrated with Active Directory from the Cisco Meraki dashboard     Students authenticate to the WiFi using RADIUS credentials hosted and managed through the dashboard     Built-in stateful firewall on all Cisco Meraki access points enables blocking of peer-to-peer, web file sharing, and gaming applications on the student network     Fondazione Milano branded splash page designed using dashboard and utilised for staff & student sign-on   Results      One-time network setup and plug-and-play deployment allows each school to be live within a day     Secure, reliable & simple network access for staff and students     Almost 10TB of data transferred over the entire network on average per week     Over 1,100 unique visitors seen on the network every week     Zero down-time since deploying     Built-in monitoring and reporting allowed repositioning of under- utilised APs to areas of higher density     Increased efficiency of the IT department with access to remote live tools such as packet capture and cable testing",education,
Hanyang Cloud Center,"Hanyang University developed the next -generation integrated information system in 2013 while implementing campus  data center advancement in the mid- to-long term based on  the New Hanyang 2020 Project established in 2008. When  we re -established the mid -to-long term development road  map in the infrastructure area in  2014, we selected  the  cloud as a solution for improving the structure of costs needed for the infrastructure area  to secure  the flexibility,  stability, and efficiency of system operation, and remov ed duplicate investments with system and infrastructure  int egration with the affiliated organization of Hanyang  School Foundation. With  no precedent in the college, there  were considerable risks to the project. However, we  successfully complete d the Hanyang Cloud Center project,  which is optimized for the unique c haracteristics of the  university, through meticulous  preparation",education,
Connected School Bus,"Connected School buses help schools improve safety, efficiency, mobility and productivity with onboard Wi-Fi and video surveillance",education,
iSchool Initiative," Challenge      Provide a more engaging alternative to traditional rote learning     Role-model concepts like gamification and problem solving with teachers and students across the country  Solution  By combining Cisco Routing and Switching, Wireless, and Video, iSchool is:      Showing teachers how technology can improve learning outcomes     Helping students develop valuable problem-solving skills with hands-on technologies     Demonstrating to school administrators the real-time value of technology in the classroom  Outcomes      Showcasing digital learning to 60 schools and conferences in 12 months     Giving 11,900 teachers a vision of how technology can improve student outcomes     Helping 15,750 students improve their problem-solving skills  ",education,
Lewisville School District," Safeguarding students and staff at scale  Located northwest of Dallas, the Lewisville Independent School District (ISD) needed an affordable, effective way to secure their 53,000 students and 6,000 staff members. Learn how Cisco�s security architecture, based on Cisco Umbrella and Cisco Firepower Next-Generation Firewall, exceeded their expectations. ",education,
 Montana State University," A secure approach to networking and research  Montana State University (MSU) is a leading public research university, ranking in the top 3 percent nationwide and investing more than $130 million annually. The university's commitment to learning, discovery, and engagement extends to IT. MSU uses Cisco Digital Network Architecture (DNA) with Software-Defined Access (SD-Access) and collaboration solutions to help push the boundaries of research. ",education,
Montebello Unified School District,"A School District Expands  Student Horizons . . .  With Help from the Cisco  Partner Ecosystem ConvergeOne, a Cisco Gold Certified Partner, has a long history working with  schools. So it already knows to expect that every school system will have its own  unique needs.  But even so, Montebello Unified School District stood out as a special challenge.  Montebello is part of Los Angeles County. Ten miles away is a thriving downtown  that is renowned worldwide as a hub of innovation, influence, and wealth. But for  many of the students in Montebello USD, those ten miles could just as easily be a  thousand. They live in households that don�t have computers or Internet access;  and although the school system strives to fill the technology gap, it has come  up short.  Way short. When the district turned to ConvergeOne�an established leader in matching  technology to pedagogy�the solution provider approached the challenge by  beginning where it always begins. It set out to get a full picture of the problem.  �We start with a Right Foundations assessment,� explains Robert Redd,  ConvergeOne�s Director of Public Sector. �This is our opportunity to level-set.  We go closet to closet and classroom to classroom to understand the customer�s  environment, the gaps, the limitations, what�s already in place.� What they found was a network that was badly antiquated, with servers that  couldn�t be repaired and Internet connections that couldn�t be activated",education,
