titles,data,labels,
ECCOM�NYU Shanghai,"Securing a Global   Network of Universities � Connecting these universities with each  other presents a big security challenge. � New York University in Shanghai is the first Sino-US joint venture with  independent legal status that�s been approved by the Ministry of Education  in China. It�s part of NYU�s global network that also includes a site in  Abu Dhabi and its original campus in New York City. Connecting these  universities with each other presents a big security challenge. Not just from  a network security standpoint�handling mobile apps, BYOD, staff, students,  and branches around the world. But the research different departments are  doing needs to be both shareable and protected.  As one of Cisco�s biggest partner in China, our experience gave us the  expertise to build a solution that could grow with NYU Shanghai. Using   Cisco Enterprise and Security, ECCOM took a systematic Information  Security Lifecycle approach to establish a sound security management  foundation, building NYU Shanghai an IT infrastructure that can respond   to any security challenge",education,
NHL University,Advanced Malware Protection (AMP) Umbrella,education,
Okinawa Institute of Science and Technology Graduate University, OIST's IT strategy and Cisco Digital Network Architecture  Okinawa Institute of Science and Technology shares their IT strategies and how Cisco Digital Network Architecture helps their automation and security. ,education,
Open Access College," Higher student engagement at a much lower cost  Open Access College provides lessons remotely, mainly to students between 5 and 18-years-old who are isolated through illness or geography. Formerly, classes used audioconferencing, but this type of communication was pretty much one-way, and it was costly. Using Cisco solutions, they cut costs and created an agile, more connected learning environment. ",education,
Plan Ceibal,Uruguay's Plan Ceibal uses TelePresence to teach English as a second language in all public schools across the country.,education,
Presidio," Challenge      Provide Wi-Fi on school buses so students can do homework on long commutes     Build an app for parents to confirm their children are on the bus     Connect entire communications network to fleet management and emergency services  The Solution      Cisco partner Presidio led the build of a Connected Bus architecture     Davra connected disparate elements into one interface     Technuf built the app interface users access  Outcomes      Fleet management services monitor driver performance and vehicle health     Precise GPS tracking of bus locations reduces wait times for students     Data analysis leads to more efficient bus routes     Partners have replicable, go-to-market solution and services  ",education,
Purdue University,Harnessing the Power of the Network Intuitive,education,
Republic Polytechnic," Giving students hands-on cloud experience  Striving to prepare students for real-world situations, Republic Polytechnic School of Infocomm recognized that graduates will most likely encounter private and hybrid cloud environments in the workplace. It needed a unified infrastructure to support a cloud-computing center where students can gain experience and also enable staff to automate services provisioning. ",education,
Ringwood Secondary College,"Secondary College implementing  a 1-to-1 learning environment and  improved infrastructure by fully  leveraging digital technologies for  class and homework. ____________________ _________ Cisco HyperFlex implemented  because of its speed, simplicity,  reliability and cost-effectiveness _____________________________ A solution that provides enterprise- grade reliability, speed, simplicity  and flexibility, including the ability to  expand with growing organisational  needs without necessitating a  technical re-design. _____________________________ Evolved infrastructure that supports  more than 5,000 users and more  than 2,200 connected devices",education,
RWTH Aachen University," Benefiting from an extended data center network  Germany's largest technical university built a powerful network with elastic scalability that is easily managed with Cisco ACI automation capabilities. This data center solution allows Rheinisch-Westf�lische Technische Hochschule (RWTH) Aachen University to handle extremely large data sets from numerous academic departments, research groups, and industry organizations, including the Large Hadron Collider at CERN. ",education,
Shawnee Mission School District," Making a secure digital learning environment  How do you securely implement a new digital learning initiative that requires providing over 27,500 students and teachers with mobile devices? SMSD leveraged Cisco Security and Collaboration Enterprise License Agreements (ELA) to efficiently and cost-effectively deliver the technologies they needed. ",education,
Socorro Independent School District, Challenge      Need to provide technical support to low-income and at-risk students     Desire to create an academy focused on specialized student learning     Desire to create a 1:1 learning network for incoming freshman students  Solution      Use E-rate funding to support digital transformation     Updated wireless network foundation to support more devices     Designed new wireless infrastructure to increase and expand Internet coverage     Deployed more access points to bring new resources to classrooms  Outcomes      Improved engagement between teachers and students     Granted access to educational materials in otherwise remote locations     Expanded academy to 20 additional sites in less than one year  ,education,
St. Vrain Valley School District," Connect students and devices for blended learning  St. Vrain Valley School District has built an Innovation Center that encourages imaginative projects, such as virtual reality, drones, app development, and robotics. Wireless devices play an important role helping students personalize learning at their own pace and direction. To enable a secure, intuitive wireless experience, St. Vrain deployed the Cisco DNA Service for Bonjour across the entire district. ",education,
Study Group,"tudy Group, a global education company, focuses on language education, higher education, and career education in 43 schools and 78 office locations worldwide. The primary goal is to prepare students to be successful in a global economy. By partnering with universities and schools around the world, Study Group functions both on-site and also has separate facilities for students to fulfill their educational goals.  Craig Coleiro, Study Group�s Global Director of Technology Services and Infrastructure, first encountered Cisco Meraki at the end of 2011 and was immediately drawn to Meraki�s family of wireless products. After comparing several vendors, Meraki�s cloud management platform stood out from the crowd as the best solution to solve the problems of limited network visibility and manual on-site configurations, particularly when people resources were already limited.  Study Group�s IT team first began the journey with Meraki by requesting a free trial for MR Access Points, thereby becoming familiar with the full feature set of the dashboard. The team moved forward by placing an order for 598 APs and quickly began global deployment. Now, the days consist of remote oversight and management, making it easy for IT to make network changes and troubleshoot even when they are not on-site.  With Meraki APs in place, user access controlled by Active Directory (AD) was easily integrated. Corporate employees, faculty, and students connect securely and easily to the network, with individual group policies. Corporate employees connect to a central Study Group hub, leading to increased communication and sharing between sites. Faculty members can quickly pull up lessons plans, modify student records, and post lectures thanks to the high bandwidth speeds. Students, many of whom are international, can not only get their schoolwork done online and share notes with peers, but they can also communicate with friends and family across land and sea.  As Coleiro�s team began re-evaluating Study Group�s security and switching devices, Meraki was top of mind. They requested another free trial and today, all four data centers are equipped with Meraki gear, including 44 MX Security Appliances and 45 MS Switches. From just about every corner of the world, Coleiro can keep a pulse on the health of the network and upon seeing issues in real-time, assign personnel to troubleshoot.",education,
SVKM's NMIMS University," SVKM�s NMIMS University opens up a world of learning possibilities with Cisco.  Collaborative learning spaces, seamless mobility across campuses and learning experiences beyond geographies made possible with Cisco�s new age collaboration solutions. ",education,
Toronto District School Board, Better Wi-Fi need becomes learning experience  Toronto District School Board leverages a single framework to support the next generation of networks and the tools to manage them. ,education,
Troy City Schools,"Challenge: �  Supporting an expanded  collaborative learning  environment that meets the  evolving needs of students with  21 st -century technology  �  Managing learning technologies  seamlessly within a single platform �  Deploying a solution that scales to  accommodate new teaching and  learning approaches, as well as  new innovations in technology Solution: �  Design a classroom environment  that leverages technology� including Cisco �  video  conferencing systems and Cisco  Webex �  Meetings�to foster  collaborative teaching and learning  �  Enable complete visibility and  control of the learning environment �  Ensure integration with existing  learning systems and support  new applications Results: �  Broad access to new learning  resources and approaches�often  outside the walls of the traditional  classroom  �  Multiple technologies  consolidated onto a single  platform for simplified operation  and management �  Improvement in student  engagement and proficiency rates",education,
 Universidad Aut�noma de Madrid," Building a better network at UAM  It is no small feat to build a better network with automation while keeping more than 38,000 students and staff connected. With help from Cisco DNA Center, the five-person IT team at Universidad Aut�noma de Madrid (UAM) is automating operations, reducing incident response times, and taking a more proactive approach to security. ",education,
Universidad EAFIT, Enhancing educational experiences  Universidad EAFIT is one of the most prestigious educational institutions in Colombia, and includes a 30-acre main campus with 28 buildings and eight annex houses as well as six smaller remote branches each with its own IT infrastructure. EAFIT partnered with Cisco to securely connect its campus. ,education
Universidad Panamericana," Challenge      Improve security and speed access to learning     Attract new students  Solution      Improving access to cloud and video-based learning resources with Cisco Wireless, Switching, and Routing     Making it easier for students and teachers to meet virtually through Cisco Collaboration technology     Reducing complexity of IT management through Cisco Prime Infrastructure and UCS Servers  Outcomes      Students have faster, safer access to learning resources     Teachers can extend education beyond the classroom     IT teams have more time for innovation  ",education,
Universidad de Salamanca," Liberating classes with secure access anywhere  Universidad de Salamanca, an 800-year-old university in Spain, uses Cisco solutions to give students the opportunity to achieve educational success through open communication and collaboration�everywhere, on any device. ",education,
University of Colorado Colorado Springs," Connecting data centers on campus and beyond  As one of the fastest-growing universities in the state, UCCS uses Cisco ACI to support its rapid growth. UCCS connected data centers in remote campuses, boosted operational efficiency, and increased network security. The automated network has zero downtime, resulting in a stable environment for educators and students. ",education,
University of Nagasaki,"Business Challenge: �  Need to improve availability by reducing  restart time after stoppages or  interruptions, especially from lightning �  Need to keep costs down  while satisfying the necessary  performance for a university Network Solution: �  Cisco� HyperFlex� system,  a hyperconverged infrastructure Business Results: �  Reduced time required for restarting,  and improved availability �  Cut costs by both improving  performance and reducing  the number of devices, �  Deployed a system that could be used  for student security courses, university  system infrastructure, and more",education,
University of Santo Tomas," Transforming learning and teaching at UST  A recent upgrade of the wireless network infrastructure at University of Santo Tomas (UST) has profoundly transformed learning and teaching at the university. UST chose Cisco as an end-to-end network infrastructure vendor because of demonstrated performance consistency and reliability, availability and fulfillment of support requirements. ",education,
University of Wollongong, Providing a world class experience with Cisco DNA Assurance  The University of Wollongong leverages Cisco DNA Assurance to reduce the time to troubleshoot and collect data. They then reuse and model to improve the wired and wireless experience for their students and researchers. ,education,
Victoria University (Australia), Providing a world class experience with Cisco DNA Assurance  The University of Wollongong leverages Cisco DNA Assurance to reduce the time to troubleshoot and collect data. They then reuse and model to improve the wired and wireless experience for their students and researchers. ,education,
Victoria University of Wellington (NZ)," Keeping the data center and disaster recovery on  When Victoria University of Wellington experiences an earthquake, it needs consistent security policies and simplified operations to protect data and maintain uptime. The university�s Information Technology Services team used Cisco firewall geo-clustering technology to build safeguards and security into its network and technology environment. ",education,
Wageningen University," More students, increased capacity, same space  An increase in student registration left Wageningen University scrambling for classrooms. Building intelligence firm Lone Rooftop showed them how to optimize existing space with real-time occupancy data. ",education,
Watkins Glen Central School District," On-the-go access  At Watkins Glen Central School District, bus rides between home and school can take up to 40 minutes each way, with sports events and field trips extending travel time to two hours or more. The school district uses Cisco technology to make sure no students were disadvantaged due to where they lived or what they were participating in. ",education,
Wayne Highlands School District, Challenge      Many schools in Wayne Highlands require high-performing technology     Implementing fiber optics in rural areas has been a challenge     Basic network coverage is limiting  Solution      Created a new wireless network to support new applications     Made management and control of the wireless system easier for IT staff  Outcomes      Achieved high-density bandwidth to optimize learning by deploying 320 access points     Eliminated long-distance calling and additional transportation costs     Launched a one-to-one learning environment  ,education,
Enable telehealth and collaboration,"Help care teams work better, with each other and with patients.",healthcare,
Personalize patient experiences,Foster patient engagement and satisfaction with onsite and mobile experiences.,healthcare,
Simplify clinical workflows,Empower healthcare professionals to improve processes and care.,healthcare,
Optimize business and IT operations,Enhance clinical and business operations and medical information sharing,healthcare,
Facilitate security and compliance,"Address cybersecurity, patient privacy, and regulatory requirements.",healthcare,
Connect R&D and manufacturing,"Make connections that speed time to market, from research to delivery.",healthcare,
R&D and Manufacturing for Life Sciences," Make connections that speed time to market  Digital technologies, including the Internet of Things (IoT), make it possible for you to improve clinical trials, boost customer engagement, and maximize operational efficiency. Do it all in a highly secure, connected life sciences environment.  Cisco life sciences solutions help you get treatments to market faster for improved population health and a better bottom line. ",healthcare,
Patient Engagement Solutions," Personalize how patients experience care  In-person and remote healthcare services make it possible to provide 24-hour care that is easy to access and navigate. Together, these solutions help increase patient and caregiver engagement and satisfaction.  Our innovative onsite and mobile technologies help you deliver more personalized care anywhere, anytime. ",healthcare,
Clinical Workflow Solutions," Streamline workflows to improve productivity  From preventive to specialized care, technology empowers care teams to be more effective and efficient, improving care coordination and collaboration.  Our collaboration, mobility, and location services solutions help you improve clinician productivity, deliver patient-centered care, and get a better bottom line. ",healthcare,
Telehealth and Collaboration Solutions," Enable remote care  Break the boundaries that separate remote healthcare teams. Empower your clinicians to communicate and work collaboratively with patients and colleagues across the clinic, down the street, and around the world.  Our advanced video and collaboration technologies help you deliver remote care and telemedicine seamlessly and securely.  ",healthcare,
Healthcare Business and IT Operations Solutions," Optimize IT infrastructure and processes  For a healthcare organization's business and IT operations, technology transformation can improve the bottom line. Maximize efficiency, reduce waste, and keep costs down. Boost staff productivity and automate your network.  Our digital network and data center solutions, combined with collaboration, help you improve workplace efficiencies. ",healthcare,
Healthcare Security and Compliance Solutions," Safeguard patients, medical devices, and data  Healthcare organizations are more connected than ever before. As cybersecurity threats grow increasingly sophisticated and frequent, organizations must address healthcare IT security and regulatory requirements.  Our healthcare security solutions help you keep patients, medical devices, and data safer and more secure. ",healthcare,
Abertawe Bro Morgannwg University (ABMU) Health Board," Automating operations improves healthcare experience  The Abertawe Bro Morgannwg University (ABMU) Health Board envisioned unburdening doctors and nurses of paperwork, while making clinicians more mobile for better care in hospitals and the community. Caring for around 500,000 people in southwest Wales as well as providing a national burn center covering southern Wales and southwest England, ABMU uses Cisco solutions as the foundation of a progressive IT strategy. ",healthcare,
Baptist Health," A better network for better patient care  To provide the best possible patient care, Baptist Health modernized its IT to support a new electronic health record system and wireless medical devices. Learn how Cisco Services helped implement a new network with near-zero downtime.  ",healthcare,
BLK Super Speciality Hospital, Creating a hyper-efficient IT infrastructure  Cisco HyperFlex helps BLK hospitals to reduce time to deployment of IT Infrastructure while doubling performance ,healthcare,
Century Care Management,"When Ed Sharp joined Century Care Management two years ago, one of the first things he wanted to address was wireless internet access. �We needed to join the 21st century,� he said. �We finally got serious about it this year.�  Century Care Management, a skilled nursing management company based in Cary, North Carolina, manages eight nursing homes across North Carolina. These facilities offer both short-term and long-term care and rehabilitation, with the smallest facility containing 80 beds and the largest featuring 140. Century Care employs over 400 clinical and 15 corporate staff members.  Century Care originally had one consumer-grade wireless access point (AP) at each facility and at headquarters, but these APs had limited range and could only be used by Century Care's internal staff. �It was very much a stopgap measure,� said Sharp, Director of Support Services.  Meanwhile, multiple constituents desired internet access. �The visiting doctors brought in laptops when seeing residents, and they wanted to use the laptop-based clinical software from their hospitals,� Sharp explained. �Our residents wanted to connect to the outside world using wireless. And our staff couldn't use their laptops everywhere in the building�they had to be near the access point.� Visiting pharmacists and state inspectors wanted access as well. �Everybody was feeling the pain. We knew we needed to take a long-term strategic look at how we provide wireless services in our company,� Sharp said.  The wired network infrastructure was already in place. Each of Century Care's eight nursing home facilities has a business-class ISP link for public and private traffic. The connection to headquarters runs through a site-to-site VPN network (a hub-and-spoke architecture). Legacy routing and switching infrastructure manages traffic at each location.  To smooth the transition to network-wide wireless, Century Care worked with value-added reseller Eproach to find a cost-effective, easy to manage solution. �We're a very lean and mean company,� Sharp said. �We don't have a lot of technology resources to provide support or care and feeding for any solution we put in, so whatever we did, we knew it had to be easy to take care of long term.�  In addition, Sharp knew he needed to be able to separate public versus private traffic in order to maintain the security of corporate and patient data. �HIPAA compliance was tantamount to any consideration we had,� he said.  After evaluating wireless solutions from Meru and Meraki, Sharp said it was Meraki�s cloud-based model with the dashboard that swayed him. �I was attracted to the idea that I don't need to host anything or have any servers here,� he said. �Instead, I can access everything from one simple, web-based dashboard, and that makes for a very clean, easy-to-manage solution.�  Century Care deployed 75 Meraki MR14 dual-radio 802.11n APs across its eight nursing home facilities and its headquarters. Eproach installed the APs using a phased approach, focusing on one location for a day or two each week. �It was pretty quick,' Sharp said. �The implementation was totally painless from our perspective.�  He still remembers when the first set of APs came online. �Eproach called when the first site was done and gave me the username and password,� he said. �I jumped into the dashboard and bang, I could see the site and the APs. The dashboard was so intuitive and easy to use, I started using the features and making changes to the environment right away.�",healthcare,
Children's Hospital of Los Angeles,See how Cisco DNA helps this hospital securely connect and manage thousands of network devices and deliver excellence in patient care.,healthcare,
Grifols," Cisco ACI enables global data center connectivity  Grifols, a global healthcare and pharmaceutical provider, chose Cisco ACI and the Nexus 9000 as its data center fabric. As a result, this solution enabled global data center connectivity, increased IT efficiency and agility, and delivered an end-to-end automated data center. ",healthcare,
Grosse Pointe Orthodontics," Keeping attackers at bay  Using our security solutions, Cisco partners team up to protect an orthodontics office in Michigan from ransomware and other advanced malware attacks. ",healthcare,
Halton Healthcare," Scalable foundation for smart hospitals  Halton Healthcare is a multifacility community healthcare organization that continually explores new technologies to better serve its patients. When the organization expanded, it turned to Cisco to upgrade its existing infrastructure with a unified, strategic approach that can reliably and securely support today�s hospitals and can scale to support the hospitals of tomorrow as well. ",healthcare,
Houston Methodist," Cisco connects hospital systems, employees, and visitors  Technology is an integral part of today�s medical care. Connecting that technology wirelessly throughout the vast Houston Methodist Hospital system was a challenge for the small team of network engineers. With help from Cisco solutions, engineers can pinpoint, diagnose, and fix problems in the wireless network quicker and easier than before. ",healthcare,
Lawrence Memorial Hospital , Umbrella,healthcare,
Lee Memorial Health System, Saving critical minutes with mobile video  Lee Memorial Health System wanted to expand stroke care services in the emergency departments of its four acute care hospitals. They implemented mobile video consultations to take expert care directly to the patient to save critical minutes. ,healthcare,
London Health Sciences Centre," Challenge      Reduce travel     Help medical teams collaborate and work more efficiently     Improve care at the bedside  Solution      Providing fast, secure access to clinical data and expertise with Digital Network Architecture     Improving bedside care with Cisco Switching and Wireless     Boosting medical expert collaboration and productivity using Cisco Unified IP Phones, Jabber and WebEx technology     Simplifying IT management securely through Cisco Prime Infrastructure     Multi-campus connectivity with Cisco Optical Networking and Cisco Firewalls     Network-readiness and long-term strategies with Cisco Network Optimization Services  Outcomes      Linked insight into patient journeys and clinical workflows with connected staff     Improved drug administration accuracy by 40 percent     Released doctors to spend more time with patients  ",healthcare,
Mercy," Taking patient care to the highest level  Drawing from deep experience�hundreds of years caring for patients, and 43 hospitals across five states � Mercy designed the Virtual Care Center to bring together the best minds to provide patient-centered care, advance technological innovations, and identify opportunities to make care more accessible, more affordable and more comprehensive. ",healthcare,
Milton Keynes University Hospital," Adopting a digital healthcare blueprint  Milton Keynes University Hospital wanted its staff to be able to operate at peak performance. But, the IT infrastructure was out-of-date and failure prone. A unified Cisco network is making digital healthcare possible. ",healthcare,
NEL CSU and Stellar Healthcare," Adopting a digital healthcare blueprint  Milton Keynes University Hospital wanted its staff to be able to operate at peak performance. But, the IT infrastructure was out-of-date and failure prone. A unified Cisco network is making digital healthcare possible. ",healthcare,
NYC Health + Hospitals, Challenge      Improve patient access to GP services     Ensure more cost effective use of clinicians time  Solution      Providing more convenient appointments and better use of clinical resources with video consultations using Cisco Jabber Guest     Managing virtual waiting rooms with Cisco Unified Contact Center Express     Facilitating video-based collaboration with Cisco Unified Communications Manager  Outcomes      Helps GPs deliver more efficient patient care     Gives patients more convenient access to appointments     Improves clinician productivity  ,healthcare,
Octapharma,"  ""We have covered a great risk in the web attack vector of ransomware, and greatly improved our user experience in regards to Internet connectivity.""  -Jason Hancock, Global Senior Network Engineer, Octapharma ",healthcare,
Oxford University Hospitals, Oxford University Hospitals boosts security  Learn how Oxford University Hospitals deployed Cisco security based on next-generation ASA firewalls to modernize its IT security systems for enhanced patient confidentiality. ,healthcare,
ProMedica," Cisco ACI supports mission-critical healthcare application  Promedica, a non-profit healthcare organization needed to create a purpose-built and highly available network to support a mission-critical healthcare application. ",healthcare,
Sentara Healthcare," Medical networks that analyze and learn  In this age of digitization, hopes and expectations for healthcare have never been greater. With 300-plus care sites, including 12 hospitals, Sentara Healthcare needs to provide a highly secure, digital care environment. They use Cisco technologies to stay ahead of the innovation curve. ",healthcare,
Sharp HealthCare," Improving lives through modernized IT operations  Sharp HealthCare caregivers can now access, store, and share data more efficiently through a more secure and available network. Cisco ACI and Splunk data-center solutions have dramatically reduced the time and effort of systems maintenance and audits, and obtained better infrastructure management monitoring and troubleshooting. ",healthcare,
The Steadman Clinic," Challenge  The Steadman Clinic is a unique organization. It combines the best surgeons in sports medicine and orthopedics in the United States with research in scientists through the Steadman Philippon Research Institute. They needed to:      Upgrade their phone system     Find easy, interactive ways for scientists and surgeons collaborate     Streamline staff communications  The Solution      Cisco Webex Teams (formerly Cisco Spark)     Cisco Webex Board (formerly Cisco Spark Board)  Outcomes      Reduced phone charges by 50%     Developed better interactions between scientists and providers     Improved patient care  ",healthcare,
Turning Point," Turning Point transforms its IT infrastructure  Turning Point is a 50-year-old, not-for-profit health and social care provider that serves hospitals, prisons, and primary care settings across England and Wales. This healthcare provider found a digital cure for an ailing IT infrastructure with Cisco Collaboration. ",healthcare,
University of Utah Health," Simplifying data center operations and increasing app visibility and security  University of Utah Health chose Cisco ACI for its data center network. With Cisco ACI, University of Utah Health was able to simplify operations and accelerate application deployments through the automation of their data center infrastructure. Additionally, they were able to increase application visibility and security with the combination of Cisco ACI and Cisco Tetration. ",healthcare,
University of Virginia Health System," Saving lives with telemedicine  During a crisis situation in Virginia, the University of Virginia (UVA) Telehealth team was able to use Cisco video collaboration solutions to communicate between emergency responders with injured patients at the front line and physicians in the command center at the hospital. ",healthcare,
VECOZO," Challenge  Faced with rising application needs and increased network loads VECOZO needed a new IT model. Success meant improving speed to market, cost control, and business continuity. Solution  Combining Cisco ACI with Citrix NetScalers boosted application performance, while reducing IT effort. Cisco Services helped complete the migration in just four months. Outcomes  VECOZO now delivers new services with more efficiency. Applications are deployed with greater security and reliability�and up to five-times faster. There is a robust process for compliance and total cost of ownership is lower, thanks to a smaller, greener data center footprint. The business is also easier to manage with the elimination of operational silos and predictable IT costs. ",healthcare,
Viet Duc University Hospital,"Viet Duc University Hospital is the largest surgical  center in Vietnam, with an excellent reputation for  its work in cardiovascular surgery, neurosurgery,  endoscopic surgery, liver cancer surgery, plastic  surgery, and other types. It has a team of leading  doctors and professors who are able to diagnose  and treat serious cases as well as perform most  complicated surgeries. ",healthcare,
vRAD,"Live radiology diagnostics reduce patient anxiety  vRad, a leading radiology practice and teleradiology company, uses Cisco technology to allow remote care team members to coordinate patient diagnoses more effectively. Quicker diagnoses reduces patient anxiety while still allowing hospitals affordable access to experts",healthcare,
Wellington Free Ambulance,"Covering an area with 300,000 to 400,000 inhabitants, Wellington Free Ambulance provides free, world-class paramedic care to the people of the greater Wellington and Wairarapa regions of New Zealand. With only 150 full-time paramedics providing frontline ambulance services, no patient information can be miscommunicated or risk not being delivered. This is where Meraki steps in, acting as the backbone to the communications infrastructure to make sure that the biggest challenge of getting the right information to the right people is the last worry for the IT team. Previous to discovering Meraki cloud managed products, Bill Viggers, the IT Manager, along with his team, was using a mixture of networking equipment from different vendors. As soon as Bill joined Wellington Free Ambulance, he saw the need for a more secure network, one that could protect and help transfer sensitive information, while offering more robust features to easily manage the network.   The core network was running on old and unreliable equipment, making the team eager to begin exploring new vendors. As Bill familiarized himself with different options, Meraki quickly stood out amongst the crowd with the intuitive management tool as the key differentiator. The team attended a Meraki webinar and received a MR Access Point (AP). Later, they started a product evaluation for APs and found that the devices �worked really nicely� in the native office environment",healthcare,
Zurcher Hohenkliniken Wald und Davos,"The scenic hills of the Zurich highlands in southeast Switzerland are home to Z�rcher H�henklinik, a rehabilitation clinic with locations in Wald and Davos. The facilities provide both out-patient and in-patient services, seeing about 5,000 patients annually with varying lengths of stay. With treatment machines now relying on WiFi and an increased demand for wireless access, the need arose for a more robust network. Director of IT Andreas Nebel deployed cloud-managed Cisco Meraki access points across all locations, which added significant coverage and reduced management overhead.   Original Networking Challenges      Aging wireless network provided poor functionality and was difficult to manage across multiple sites     Controller-based solution limited the number of additional wireless access points that could be added for increased coverage",healthcare,
Smart medication,real - time  collection of personal health  data leading  to  an indiv idual  pharmaceutical  approach ,healthcare,
Bioelectronic medicine,"treatment  of chronic diseases using miniaturised,  implantable  device modifying  electrical  signals that pass along nerves ",healthcare,
Personal health systems,"wearable  systems for monitoring,  diagnosis and  treatment  of chronic diseases ",healthcare,
Telesurgery,"remote dial - in  of expert surgeons to operating theatre  through video, using 360� high - quality  cameras, to provide guid ance and  advice ",healthcare,
elecare and telemedicine,remote patient � doctor consult ation through a  mobile  device ,healthcare,
Mobile delivery of medical files,"exchange of medical data and files  over  mobile  device (e.g. test results, imagery,  etc.) ",healthcare,
Connected ambulance,"real - time  connection between hospital, ambulance  (and place of incident)  to share data and information ",healthcare,
Assisting service robots, mobile  robots assisting e. g. elderly  or disabled  people ,healthcare,
Virtual and augmented reality for medicine,"virtual  reality  environment s  with  applications across the healthcare  sector, from education and training  to surgical planning and patients� experience ",healthcare,
Battlefield medicine,"e.g. through mobile  surgical  robots. Challenges for  the industry  Moving  forward, a number of challenges  will  have to be  overcome to reap the benefits that next generati on  mobile networks can  offer:  - Pace of innovation : designing,  trialling  and adopting new  technology whilst  remaining  compliant  with  medical  association  regulation  presents a challenge,  especially  where  regulation  is old or did not anticipate  the techno logies now  becoming available  - Willingness  to change : adjusting  working  practices (of  doctors or health  providers) can be difficult  to achieve in this  sect or  - Economic models (of state healthcare  authorities)  and politics  of infrastructure  versus service/employment  spending of  national  healthcare  budgets. ",healthcare,
Distributed soil sensors,"sensors that measure a number of parameters  such as moisture or temperature,  or identify  issues such as diseases or  insects and enable  informed farm ing  decisions ",agriculture,
Crop  monitoring,"real - time  crop vegetation  monitoring,  which  enables  tracking  positive and negative dynamics of crop development ",agriculture,
Routing and monitoring of livestock:,real - time  management  of livestock ,agriculture,
Smart  irrigation ,use of controllers and devices which reduce water usage  by using real - time  informat ion  about the site conditions ,agriculture,
Connected farming machinery:,automated farming  equipment  (e.g. smart  milking  equipment) or vehicles  (e.g. harvesting  trucks) which  can be  controlled remotely  b y a central operator ,agriculture,
Drones for farming," use of drones to monitor fields, livestock or  autonomous machinery  (e.g. driverless  harvesting  trucks) sending live  video streams back to a central control room.",agriculture,
